instruction_text,thisN,thisTrialN,thisRepN,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trial.thisRepN,instruction_trial.thisTrialN,instruction_trial.thisN,instruction_trial.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,piloting,assigned_ls_group,slider_informed_consent.response,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,Practice_all_cut_rts,practice_trials.prac_attention_resp.keys,Practice_correct_key_required,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,video_used,audio_used,condition_modality,all_cut_rts,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_pause_resp.keys,correct_key_required,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

(Drücken Sie die Leertaste, um fortzufahren)",4,4,0,,,,,,,,,,0,4,4,4,,,,,,,,,23.127654199954122,,False,2,ich stimme zu,,,,,,,,,,,,,,,,,,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,7,0,7,,,,None,None,,,,,,,,,,,,,7,0,7,0,379.3960997001268,,,,,,,,,,,,,,,,clips/clip_herz_03_sub_2.mp4,audios/silence.mp3,visual,"[4.52588800014928, 11.354262600187212]",None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,8,0,8,,,,None,None,,,,,,,,,,,,,8,0,8,0,392.63435210008174,,,,,,,,,,,,,,,,clips/clip_hund_36_nosub_2.mp4,audios/silence.mp3,visual,"[0.3978190999478102, 3.8576108003035188, 6.003204400185496]",None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,9,0,9,,,,4,None,5.502132700290531,None,,,,,,,,,,,9,0,9,0,402.66914759995416,,,,,,,,,,,,,,,,clips/clip_lied_20_sub_2.mp4,audios/clip_lied_20_sub_2.mp3,audiovisual,"[3.8951592999510467, 8.151978899724782]",4,None,4,5.502132700290531,None,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,10,0,10,,,,None,None,,,,,,,,,,,,,10,0,10,0,419.73943790001795,,,,,,,,,,,,,,,,clips/clip_holo_06_sub_2.mp4,audios/silence.mp3,visual,"[5.015883800107986, 9.11327899992466]",None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,11,0,11,,,,4,None,9.802735200151801,None,,,,,,,,,,,11,0,11,0,430.4028815999627,,,,,,,,,,,,,,,,clips/clip_hund_12_nosub_1.mp4,audios/clip_hund_12_nosub_1.mp3,audiovisual,[9.834128299728036],4,None,4,9.802735200151801,None,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,12,0,12,,,,None,None,,,,,,,,,,,,,12,0,12,0,452.32781160017475,,,,,,,,,,,,,,,,clips/clip_holo_11_sub_2.mp4,audios/clip_holo_11_sub_2.mp3,audiovisual,"[5.645785800181329, 9.031488600187004]",None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,13,0,13,,,,None,None,,,,,,,,,,,,,13,0,13,0,462.7431342001073,,,,,,,,,,,,,,,,clips/clip_claude_07_nosub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,14,0,14,,,,None,None,,,,,,,,,,,,,14,0,14,0,473.67789279995486,,,,,,,,,,,,,,,,clips/clip_hund_11_nosub_1.mp4,audios/silence.mp3,visual,"[0.1572428997606039, 6.231959099881351]",None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,15,0,15,,,,None,None,,,,,,,,,,,,,15,0,15,0,484.28006540006027,,,,,,,,,,,,,,,,clips/clip_hund_03_nosub_1.mp4,audios/clip_hund_03_nosub_1.mp3,audiovisual,[6.465478099882603],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,16,0,16,,,,None,None,,,,,,,,,,,,,16,0,16,0,497.08098360011354,,,,,,,,,,,,,,,,clips/clip_lied_04_nosub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,17,0,17,,,,None,None,,,,,,,,,,,,,17,0,17,0,508.9156379001215,,,,,,,,,,,,,,,,clips/clip_holo_28_sub_0.mp4,audios/clip_holo_28_sub_0.mp3,audiovisual,[],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,18,0,18,,,,None,None,,,,,,,,,,,,,18,0,18,0,518.3370683002286,,,,,,,,,,,,,,,,clips/clip_herz_07_sub_2.mp4,audios/silence.mp3,visual,"[4.2326532998122275, 10.795355499722064]",None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,19,0,19,,,,None,None,,,,,,,,,,,,,19,0,19,0,531.2454945002683,,,,,,,,,,,,,,,,clips/clip_holo_10_sub_1.mp4,audios/silence.mp3,visual,[6.081520200241357],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,20,0,20,,,,None,None,,,,,,,,,,,,,20,0,20,0,542.1583704999648,,,,,,,,,,,,,,,,clips/clip_holo_01_nosub_1.mp4,audios/clip_holo_01_nosub_1.mp3,audiovisual,[4.013957599643618],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,21,0,21,,,,None,None,,,,,,,,,,,,,21,0,21,0,552.1785507001914,,,,,,,,,,,,,,,,clips/clip_weißt_22_sub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,22,0,22,,,,None,None,,,,,,,,,,,,,22,0,22,0,564.1680709999055,,,,,,,,,,,,,,,,clips/clip_lied_10_sub_1.mp4,audios/silence.mp3,visual,[4.370697299949825],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,23,0,23,,,,4,None,10.437252699863166,None,,,,,,,,,,,23,0,23,0,576.5087267998606,,,,,,,,,,,,,,,,clips/clip_wurst_23_sub_2.mp4,audios/silence.mp3,visual,"[3.5243510003201663, 7.780348800122738]",4,None,4,10.437252699863166,None,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,24,0,24,,,,None,None,,,,,,,,,,,,,24,0,24,0,599.3534420002252,,,,,,,,,,,,,,,,clips/clip_herz_04_sub_0.mp4,audios/clip_herz_04_sub_0.mp3,audiovisual,[8.359474199824035],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,25,0,25,,,,None,None,,,,,,,,,,,,,25,0,25,0,610.6678114999086,,,,,,,,,,,,,,,,clips/clip_holo_22_sub_1.mp4,audios/silence.mp3,visual,[9.215866799931973],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,26,0,26,,,,None,None,,,,,,,,,,,,,26,0,26,0,620.7504380000755,,,,,,,,,,,,,,,,clips/clip_holo_07_sub_0.mp4,audios/clip_holo_07_sub_0.mp3,audiovisual,[],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,27,0,27,,,,None,None,,,,,,,,,,,,,27,0,27,0,630.9936839002185,,,,,,,,,,,,,,,,clips/clip_lied_19_sub_1.mp4,audios/silence.mp3,visual,[5.260415199678391],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,28,0,28,,,,2,None,5.8263522000052035,None,,,,,,,,,,,28,0,28,0,642.6241402002051,,,,,,,,,,,,,,,,clips/clip_dampf_06_sub_2.mp4,audios/clip_dampf_06_sub_2.mp3,audiovisual,[],2,None,2,5.8263522000052035,None,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,29,0,29,,,,None,None,,,,,,,,,,,,,29,0,29,0,658.4878246001899,,,,,,,,,,,,,,,,clips/clip_lied_05_nosub_0.mp4,audios/clip_lied_05_nosub_0.mp3,audiovisual,[],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,30,0,30,,,,None,None,,,,,,,,,,,,,30,0,30,0,668.6079326001927,,,,,,,,,,,,,,,,clips/clip_wurst_27_sub_1.mp4,audios/silence.mp3,visual,[7.039658099878579],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,31,0,31,,,,None,None,,,,,,,,,,,,,31,0,31,0,679.6688810000196,,,,,,,,,,,,,,,,clips/clip_herz_16_sub_0.mp4,audios/clip_herz_16_sub_0.mp3,audiovisual,[4.171928100287914],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,32,0,32,,,,3,None,7.215542399790138,None,,,,,,,,,,,32,0,32,0,689.4822629000992,,,,,,,,,,,,,,,,clips/clip_wurst_22_nosub_0.mp4,audios/clip_wurst_22_nosub_0.mp3,audiovisual,[],3,None,3,7.215542399790138,None,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,33,0,33,,,,None,None,,,,,,,,,,,,,33,0,33,0,709.2781429998577,,,,,,,,,,,,,,,,clips/clip_wurst_18_nosub_0.mp4,audios/clip_wurst_18_nosub_0.mp3,audiovisual,[],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,34,0,34,,,,None,None,,,,,,,,,,,,,34,0,34,0,720.1381605002098,,,,,,,,,,,,,,,,clips/clip_lied_08_nosub_1.mp4,audios/silence.mp3,visual,[7.514920799992979],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,35,0,35,,,,None,None,,,,,,,,,,,,,35,0,35,0,730.1736238999292,,,,,,,,,,,,,,,,clips/clip_wurst_01_sub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,36,0,36,,,,None,None,,,,,,,,,,,,,36,0,36,0,740.9959448999725,,,,,,,,,,,,,,,,clips/clip_weißt_28_sub_1.mp4,audios/clip_weißt_28_sub_1.mp3,audiovisual,"[2.171146800275892, 6.815485599916428]",None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,37,0,37,,,,None,None,,,,,,,,,,,,,37,0,37,0,751.8726285002194,,,,,,,,,,,,,,,,clips/clip_wurst_30_nosub_1.mp4,audios/clip_wurst_30_nosub_1.mp3,audiovisual,[],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,38,0,38,,,,None,None,,,,,,,,,,,,,38,0,38,0,762.7597023001872,,,,,,,,,,,,,,,,clips/clip_hund_30_nosub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,39,0,39,,,,None,None,,,,,,,,,,,,,39,0,39,0,775.6272971001454,,,,,,,,,,,,,,,,clips/clip_wurst_28_sub_1.mp4,audios/clip_wurst_28_sub_1.mp3,audiovisual,[],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,40,0,40,,,,None,None,,,,,,,,,,,,,40,0,40,0,786.7405751999468,,,,,,,,,,,,,,,,clips/clip_lied_21_nosub_2.mp4,audios/silence.mp3,visual,"[5.036176899913698, 10.401281800121069]",None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,41,0,41,,,,2,None,5.361179300118238,None,,,,,,,,,,,41,0,41,0,799.2485964000225,,,,,,,,,,,,,,,,clips/clip_dampf_04_nosub_1.mp4,audios/clip_dampf_04_nosub_1.mp3,audiovisual,[4.8711723000742495],2,None,2,5.361179300118238,None,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,42,0,42,,,,None,None,,,,,,,,,,,,,42,0,42,0,815.0703524001874,,,,,,,,,,,,,,,,clips/clip_herz_13_nosub_0.mp4,audios/silence.mp3,visual,[7.64977140026167],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,43,0,43,,,,None,None,,,,,,,,,,,,,43,0,43,0,827.0878953998908,,,,,,,,,,,,,,,,clips/clip_holo_17_nosub_0.mp4,audios/clip_holo_17_nosub_0.mp3,audiovisual,[],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,44,0,44,,,,2,None,4.077495800331235,None,,,,,,,,,,,44,0,44,0,837.8140805000439,,,,,,,,,,,,,,,,clips/clip_holo_23_sub_1.mp4,audios/clip_holo_23_sub_1.mp3,audiovisual,[],2,None,2,4.077495800331235,None,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
,45,0,45,,,,None,None,,,,,,,,,,,,,45,0,45,0,852.9149576001801,,,,,,,,,,,,,,,,clips/clip_claude_11_nosub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,120,A,2026-04-04_21h55.44.499,exp_sofc_final,,2026.1.2,60.100885344697375,2026-04-04 21h55.46.620284 +0200,
