instruction_text,thisN,thisTrialN,thisRepN,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.keys,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trial.thisRepN,instruction_trial.thisTrialN,instruction_trial.thisN,instruction_trial.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,piloting,assigned_ls_group,slider_informed_consent.response,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,Practice_all_cut_rts,Practice_correct_key_required,practice_trials.prac_attention_resp.keys,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,video_used,audio_used,condition_modality,all_cut_rts,correct_key_required,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_trials.exp_pause_resp.keys,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

,7,0,7,,,,None,,,None,,,,,,,,,,,7,0,7,0,331.2466369001195,,,,,,,,,,,,,,,,clips/clip_holo_10_nosub_1.mp4,audios/clip_holo_10_nosub_1.mp3,audiovisual,[6.039462599903345],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,8,0,8,,,,None,,,None,,,,,,,,,,,8,0,8,0,342.04211759986356,,,,,,,,,,,,,,,,clips/clip_wurst_11_nosub_0.mp4,audios/clip_wurst_11_nosub_0.mp3,audiovisual,[0.20966959977522492],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,9,0,9,,,,None,,,None,,,,,,,,,,,9,0,9,0,354.9244931000285,,,,,,,,,,,,,,,,clips/clip_wurst_23_nosub_2.mp4,audios/clip_wurst_23_nosub_2.mp3,audiovisual,"[4.514902400318533, 7.743810400366783]",,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,10,0,10,,,,None,,,None,,,,,,,,,,,10,0,10,0,366.2336757001467,,,,,,,,,,,,,,,,clips/clip_herz_14_nosub_0.mp4,audios/silence.mp3,visual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,11,0,11,,,,None,,,None,,,,,,,,,,,11,0,11,0,377.61833339976147,,,,,,,,,,,,,,,,clips/clip_weißt_03_sub_0.mp4,audios/clip_weißt_03_sub_0.mp3,audiovisual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,12,0,12,,,,1,7.353037100285292,None,None,,,,,,,,,,,12,0,12,0,390.4294904000126,,,,,,,,,,,,,,,,clips/clip_wurst_07_sub_0.mp4,audios/silence.mp3,visual,[],3,1,7.353037100285292,None,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,13,0,13,,,,None,,,None,,,,,,,,,,,13,0,13,0,408.8543237000704,,,,,,,,,,,,,,,,clips/clip_hund_27_nosub_1.mp4,audios/clip_hund_27_nosub_1.mp3,audiovisual,[5.224731900263578],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,14,0,14,,,,2,4.456465699709952,None,None,,,,,,,,,,,14,0,14,0,419.94947660015896,,,,,,,,,,,,,,,,clips/clip_claude_07_sub_0.mp4,audios/clip_claude_07_sub_0.mp3,audiovisual,[],2,2,4.456465699709952,None,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,15,0,15,,,,None,,,None,,,,,,,,,,,15,0,15,0,435.27617370011285,,,,,,,,,,,,,,,,clips/clip_holo_20_sub_1.mp4,audios/clip_holo_20_sub_1.mp3,audiovisual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,16,0,16,,,,None,,,None,,,,,,,,,,,16,0,16,0,445.5169374998659,,,,,,,,,,,,,,,,clips/clip_wurst_01_nosub_0.mp4,audios/clip_wurst_01_nosub_0.mp3,audiovisual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,17,0,17,,,,None,,,None,,,,,,,,,,,17,0,17,0,456.2549711000174,,,,,,,,,,,,,,,,clips/clip_wurst_18_nosub_0.mp4,audios/silence.mp3,visual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,18,0,18,,,,None,,,None,,,,,,,,,,,18,0,18,0,467.09999629994854,,,,,,,,,,,,,,,,clips/clip_claude_10_sub_0.mp4,audios/silence.mp3,visual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,19,0,19,,,,None,,,None,,,,,,,,,,,19,0,19,0,479.2305990001187,,,,,,,,,,,,,,,,clips/clip_hund_01_sub_0.mp4,audios/clip_hund_01_sub_0.mp3,audiovisual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,20,0,20,,,,None,,,None,,,,,,,,,,,20,0,20,0,490.8500735000707,,,,,,,,,,,,,,,,clips/clip_wurst_06_nosub_2.mp4,audios/clip_wurst_06_nosub_2.mp3,audiovisual,[8.450786599889398],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,21,0,21,,,,None,,,None,,,,,,,,,,,21,0,21,0,502.8087721997872,,,,,,,,,,,,,,,,clips/clip_herz_03_nosub_2.mp4,audios/clip_herz_03_nosub_2.mp3,audiovisual,"[4.7358594997785985, 11.451137300115079]",,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,22,0,22,,,,None,,,None,,,,,,,,,,,22,0,22,0,516.0866865999997,,,,,,,,,,,,,,,,clips/clip_holo_23_sub_1.mp4,audios/silence.mp3,visual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,23,0,23,,,,None,,,None,,,,,,,,,,,23,0,23,0,526.9390961001627,,,,,,,,,,,,,,,,clips/clip_lied_01_nosub_1.mp4,audios/silence.mp3,visual,[5.193583299871534],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,24,0,24,,,,None,,,None,,,,,,,,,,,24,0,24,0,537.8522036001086,,,,,,,,,,,,,,,,clips/clip_herz_04_sub_0.mp4,audios/silence.mp3,visual,"[0.5408369996584952, 7.949645199812949]",,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,25,0,25,,,,None,,,None,,,,,,,,,,,25,0,25,0,549.7049942999147,,,,,,,,,,,,,,,,clips/clip_holo_01_nosub_1.mp4,audios/silence.mp3,visual,[4.231651700101793],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,26,0,26,,,,None,,,None,,,,,,,,,,,26,0,26,0,559.8220132999122,,,,,,,,,,,,,,,,clips/clip_herz_17_sub_0.mp4,audios/clip_herz_17_sub_0.mp3,audiovisual,[7.804599599912763],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,27,0,27,,,,None,,,None,,,,,,,,,,,27,0,27,0,568.8121996000409,,,,,,,,,,,,,,,,clips/clip_hund_35_sub_0.mp4,audios/silence.mp3,visual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,28,0,28,,,,None,,,None,,,,,,,,,,,28,0,28,0,580.113446299918,,,,,,,,,,,,,,,,clips/clip_claude_17_nosub_1.mp4,audios/clip_claude_17_nosub_1.mp3,audiovisual,[10.269291100092232],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,29,0,29,,,,None,,,None,,,,,,,,,,,29,0,29,0,593.3073292998597,,,,,,,,,,,,,,,,clips/clip_weißt_29_sub_1.mp4,audios/clip_weißt_29_sub_1.mp3,audiovisual,[7.017071799840778],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,30,0,30,,,,None,,,None,,,,,,,,,,,30,0,30,0,605.2277806000784,,,,,,,,,,,,,,,,clips/clip_herz_16_sub_0.mp4,audios/silence.mp3,visual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,31,0,31,,,,None,,,None,,,,,,,,,,,31,0,31,0,615.0595895000733,,,,,,,,,,,,,,,,clips/clip_wurst_28_sub_1.mp4,audios/silence.mp3,visual,[0.6150954002514482],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,32,0,32,,,,None,,,None,,,,,,,,,,,32,0,32,0,626.2030282001942,,,,,,,,,,,,,,,,clips/clip_holo_21_nosub_1.mp4,audios/silence.mp3,visual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,33,0,33,,,,None,,,None,,,,,,,,,,,33,0,33,0,637.291417399887,,,,,,,,,,,,,,,,clips/clip_claude_18_sub_0.mp4,audios/silence.mp3,visual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,34,0,34,,,,None,,,None,,,,,,,,,,,34,0,34,0,647.101754900068,,,,,,,,,,,,,,,,clips/clip_lied_09_nosub_1.mp4,audios/silence.mp3,visual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,35,0,35,,,,None,,,None,,,,,,,,,,,35,0,35,0,658.3828157000244,,,,,,,,,,,,,,,,clips/clip_wurst_29_sub_1.mp4,audios/clip_wurst_29_sub_1.mp3,audiovisual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,36,0,36,,,,1,4.276259400416166,None,None,,,,,,,,,,,36,0,36,0,671.215017999988,,,,,,,,,,,,,,,,clips/clip_wurst_27_nosub_1.mp4,audios/clip_wurst_27_nosub_1.mp3,audiovisual,[6.109284800011665],1,1,4.276259400416166,None,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,37,0,37,,,,None,,,None,,,,,,,,,,,37,0,37,0,686.5671435999684,,,,,,,,,,,,,,,,clips/clip_lied_08_sub_1.mp4,audios/clip_lied_08_sub_1.mp3,audiovisual,[7.526505900081247],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,38,0,38,,,,3,4.010757099837065,None,None,,,,,,,,,,,38,0,38,0,696.5623675999232,,,,,,,,,,,,,,,,clips/clip_claude_21_nosub_1.mp4,audios/clip_claude_21_nosub_1.mp3,audiovisual,[9.725308800116181],3,3,4.010757099837065,None,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,39,0,39,,,,None,,,None,,,,,,,,,,,39,0,39,0,714.3439167998731,,,,,,,,,,,,,,,,clips/clip_herz_09_sub_0.mp4,audios/clip_herz_09_sub_0.mp3,audiovisual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,40,0,40,,,,None,,,None,,,,,,,,,,,40,0,40,0,726.6964519000612,,,,,,,,,,,,,,,,clips/clip_wurst_17_sub_0.mp4,audios/clip_wurst_17_sub_0.mp3,audiovisual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,41,0,41,,,,None,,,None,,,,,,,,,,,41,0,41,0,735.5090065998957,,,,,,,,,,,,,,,,clips/clip_herz_10_nosub_0.mp4,audios/silence.mp3,visual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,42,0,42,,,,None,,,None,,,,,,,,,,,42,0,42,0,746.357193400152,,,,,,,,,,,,,,,,clips/clip_claude_26_sub_0.mp4,audios/silence.mp3,visual,[4.572435200214386],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,43,0,43,,,,None,,,None,,,,,,,,,,,43,0,43,0,758.1561133000068,,,,,,,,,,,,,,,,clips/clip_lied_06_nosub_1.mp4,audios/clip_lied_06_nosub_1.mp3,audiovisual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,44,0,44,,,,None,,,None,,,,,,,,,,,44,0,44,0,771.6247992999852,,,,,,,,,,,,,,,,clips/clip_hund_04_nosub_0.mp4,audios/clip_hund_04_nosub_0.mp3,audiovisual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,45,0,45,,,,3,6.573287999723107,None,None,,,,,,,,,,,45,0,45,0,781.9627704001032,,,,,,,,,,,,,,,,clips/clip_holo_24_sub_2.mp4,audios/clip_holo_24_sub_2.mp3,audiovisual,[7.034823500085622],4,3,6.573287999723107,None,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
,46,0,46,,,,None,,,None,,,,,,,,,,,46,0,46,0,799.2393399998546,,,,,,,,,,,,,,,,clips/clip_weißt_17_sub_0.mp4,audios/silence.mp3,visual,[],,None,,,None,,,121,A,2026-04-05_16h16.17.595,exp_sofc_final,,2026.1.2,60.017777303184225,2026-04-05 16h16.19.092893 +0200,
