instruction_text;thisN;thisTrialN;thisRepN;prac_attention_resp.keys;prac_attention_resp.rt;prac_attention_resp.duration;exp_atttention_resp.keys;exp_pause_resp.keys;exp_atttention_resp.rt;exp_atttention_resp.duration;exp_pause_resp.rt;exp_pause_resp.duration;instruction_trial.thisRepN;instruction_trial.thisTrialN;instruction_trial.thisN;instruction_trial.thisIndex;practice_trials.thisRepN;practice_trials.thisTrialN;practice_trials.thisN;practice_trials.thisIndex;experiment_trials.thisRepN;experiment_trials.thisTrialN;experiment_trials.thisN;experiment_trials.thisIndex;thisRow.t;notes;piloting;assigned_ls_group;slider_informed_consent.response;Practice_clip_name;Practice_video_used;Practice_audio_used;Practice_modality;Practice_subtitles;Practice_attention_check;Practice_all_cut_rts;Practice_correct_key_required;practice_trials.prac_attention_resp.keys;practice_trials.prac_attention_resp.rt;practice_trials.prac_attention_resp.duration;video_used;audio_used;condition_modality;all_cut_rts;experiment_trials.exp_atttention_resp.keys;experiment_trials.exp_pause_resp.keys;correct_key_required;experiment_trials.exp_atttention_resp.rt;experiment_trials.exp_atttention_resp.duration;experiment_trials.exp_pause_resp.rt;experiment_trials.exp_pause_resp.duration;participant;session;date;expName;expVersion;psychopyVersion;frameRate;expStart
Einverständniserklärung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;8;0;8;;;;None;None;;;;;;;;;;;;;8;0;8;0;3.323.583.901.999.510;;;;;;;;;;;;;;;;clips/clip_holo_16_sub_1.mp4;audios/clip_holo_16_sub_1.mp3;audiovisual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;9;0;9;;;;None;None;;;;;;;;;;;;;9;0;9;0;3.451.926.440.000.530;;;;;;;;;;;;;;;;clips/clip_wurst_20_sub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;10;0;10;;;;2;None;10.975.059.600.081.200;None;;;;;;;;;;;10;0;10;0;35.604.327.729.996.200;;;;;;;;;;;;;;;;clips/clip_herz_06_nosub_2.mp4;audios/silence.mp3;visual;[];2;None;1;10.975.059.600.081.200;None;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;11;0;11;;;;None;None;;;;;;;;;;;;;11;0;11;0;3.784.998.878.999.610;;;;;;;;;;;;;;;;clips/clip_lied_01_nosub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;12;0;12;;;;2;None;7.755.205.700.173.970;None;;;;;;;;;;;12;0;12;0;3.893.433.209.997.600;;;;;;;;;;;;;;;;clips/clip_herz_03_nosub_2.mp4;audios/clip_herz_03_nosub_2.mp3;audiovisual;[];2;None;2;7.755.205.700.173.970;None;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;13;0;13;;;;None;None;;;;;;;;;;;;;13;0;13;0;4.103.457.117.001.520;;;;;;;;;;;;;;;;clips/clip_wurst_32_sub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;14;0;14;;;;4;None;35.723.031.000.234.100;None;;;;;;;;;;;14;0;14;0;42.177.563.530.020.400;;;;;;;;;;;;;;;;clips/clip_wurst_33_sub_0.mp4;audios/clip_wurst_33_sub_0.mp3;audiovisual;[];4;None;4;35.723.031.000.234.100;None;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;15;0;15;;;;None;None;;;;;;;;;;;;;15;0;15;0;43.595.517.039.997.500;;;;;;;;;;;;;;;;clips/clip_weißt_16_nosub_0.mp4;audios/clip_weißt_16_nosub_0.mp3;audiovisual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;16;0;16;;;;None;None;;;;;;;;;;;;;16;0;16;0;44.784.658.579.993.900;;;;;;;;;;;;;;;;clips/clip_holo_21_nosub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;17;0;17;;;;None;None;;;;;;;;;;;;;17;0;17;0;4.585.455.501.000.390;;;;;;;;;;;;;;;;clips/clip_holo_19_sub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;18;0;18;;;;None;None;;;;;;;;;;;;;18;0;18;0;4.693.780.048.000.620;;;;;;;;;;;;;;;;clips/clip_wurst_22_nosub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;19;0;19;;;;None;None;;;;;;;;;;;;;19;0;19;0;48.190.897.820.005.100;;;;;;;;;;;;;;;;clips/clip_weißt_23_sub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;20;0;20;;;;1;None;7.648.062.499.705.700;None;;;;;;;;;;;20;0;20;0;4.942.162.521.001.880;;;;;;;;;;;;;;;;clips/clip_hund_17_nosub_1.mp4;audios/clip_hund_17_nosub_1.mp3;audiovisual;[];1;None;2;7.648.062.499.705.700;None;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;21;0;21;;;;None;None;;;;;;;;;;;;;21;0;21;0;5.149.845.854.002.050;;;;;;;;;;;;;;;;clips/clip_dampf_04_nosub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;22;0;22;;;;None;None;;;;;;;;;;;;;22;0;22;0;5.254.126.340.001.820;;;;;;;;;;;;;;;;clips/clip_holo_05_nosub_2.mp4;audios/silence.mp3;visual;[];None;None;;;;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
;23;0;23;;;;1;None;2.091.220.370.028.160;None;;;;;;;;;;;23;0;23;0;5.353.591.236.998.320;;;;;;;;;;;;;;;;clips/clip_claude_16_nosub_1.mp4;audios/silence.mp3;visual;[];1;None;4;2.091.220.370.028.160;None;;;205;B;2026-04-01_18h26.56.490;exp_sofc_final;;02.01.2026;5.999.545.237.992.540;2026-04-01 18h26.58.027871 +0200
