instruction_text,thisN,thisTrialN,thisRepN,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trial.thisRepN,instruction_trial.thisTrialN,instruction_trial.thisN,instruction_trial.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,piloting,assigned_ls_group,slider_informed_consent.response,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,Practice_all_cut_rts,practice_trials.prac_attention_resp.keys,Practice_correct_key_required,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,video_used,audio_used,condition_modality,all_cut_rts,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_pause_resp.keys,correct_key_required,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

,7,0,7,,,,3,None,4.192844799719751,None,,,,,,,,,,,7,0,7,0,318.51290589990094,,,,,,,,,,,,,,,,clips/clip_wurst_21_nosub_0.mp4,audios/silence.mp3,visual,[],3,None,3,4.192844799719751,None,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,8,0,8,,,,None,None,,,,,,,,,,,,,8,0,8,0,334.2323977998458,,,,,,,,,,,,,,,,clips/clip_wurst_13_nosub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,9,0,9,,,,None,None,,,,,,,,,,,,,9,0,9,0,344.67101459996775,,,,,,,,,,,,,,,,clips/clip_hund_21_sub_1.mp4,audios/silence.mp3,visual,[8.009371999651194],None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,10,0,10,,,,None,None,,,,,,,,,,,,,10,0,10,0,355.6127248001285,,,,,,,,,,,,,,,,clips/clip_claude_01_sub_2.mp4,audios/silence.mp3,visual,"[7.099497199989855, 8.917351599782705]",None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,11,0,11,,,,None,None,,,,,,,,,,,,,11,0,11,0,367.4693343997933,,,,,,,,,,,,,,,,clips/clip_holo_14_sub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,12,0,12,,,,None,None,,,,,,,,,,,,,12,0,12,0,378.440796200186,,,,,,,,,,,,,,,,clips/clip_herz_12_sub_0.mp4,audios/clip_herz_12_sub_0.mp3,audiovisual,[6.888304099906236],None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,13,0,13,,,,None,None,,,,,,,,,,,,,13,0,13,0,388.33685349998996,,,,,,,,,,,,,,,,clips/clip_lied_05_nosub_0.mp4,audios/clip_lied_05_nosub_0.mp3,audiovisual,[],None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,14,0,14,,,,None,None,,,,,,,,,,,,,14,0,14,0,398.6070305001922,,,,,,,,,,,,,,,,clips/clip_claude_07_nosub_0.mp4,audios/silence.mp3,visual,[],None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,15,0,15,,,,None,None,,,,,,,,,,,,,15,0,15,0,409.55887180007994,,,,,,,,,,,,,,,,clips/clip_hund_20_nosub_0.mp4,audios/clip_hund_20_nosub_0.mp3,audiovisual,[],None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,16,0,16,,,,1,None,7.343002900015563,None,,,,,,,,,,,16,0,16,0,421.9442802001722,,,,,,,,,,,,,,,,clips/clip_hund_05_sub_0.mp4,audios/clip_hund_05_sub_0.mp3,audiovisual,[4.645763500127941],1,None,3,7.343002900015563,None,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,17,0,17,,,,None,None,,,,,,,,,,,,,17,0,17,0,441.2982847997919,,,,,,,,,,,,,,,,clips/clip_claude_09_sub_2.mp4,audios/silence.mp3,visual,"[3.9902423000894487, 9.065214999951422]",None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,18,0,18,,,,None,None,,,,,,,,,,,,,18,0,18,0,452.41658469988033,,,,,,,,,,,,,,,,clips/clip_hund_29_sub_0.mp4,audios/clip_hund_29_sub_0.mp3,audiovisual,[],None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,19,0,19,,,,None,None,,,,,,,,,,,,,19,0,19,0,464.7471631001681,,,,,,,,,,,,,,,,clips/clip_claude_12_nosub_0.mp4,audios/clip_claude_12_nosub_0.mp3,audiovisual,[],None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,20,0,20,,,,2,None,3.780985400080681,None,,,,,,,,,,,20,0,20,0,474.8416035999544,,,,,,,,,,,,,,,,clips/clip_wurst_10_nosub_2.mp4,audios/clip_wurst_10_nosub_2.mp3,audiovisual,"[4.695945200044662, 7.583326400257647]",2,None,2,3.780985400080681,None,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,21,0,21,,,,None,None,,,,,,,,,,,,,21,0,21,0,488.36278149997815,,,,,,,,,,,,,,,,clips/clip_wurst_22_nosub_0.mp4,audios/clip_wurst_22_nosub_0.mp3,audiovisual,[],None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
,22,0,22,,,,None,None,,,,,,,,,,,,,22,0,22,0,500.8392664999701,,,,,,,,,,,,,,,,clips/clip_herz_15_sub_0.mp4,audios/silence.mp3,visual,"[3.794526200275868, 7.8586682002060115]",None,None,,,,,,206,B,2026-04-02_15h38.01.629,exp_sofc_final,,2026.1.2,60.2674306986764,2026-04-02 15h38.04.386515 +0200,
