instruction_text,thisN,thisTrialN,thisRepN,prac_attention_resp.keys,prac_attention_resp.rt,prac_attention_resp.duration,exp_atttention_resp.keys,exp_pause_resp.keys,exp_atttention_resp.rt,exp_atttention_resp.duration,exp_pause_resp.rt,exp_pause_resp.duration,instruction_trial.thisRepN,instruction_trial.thisTrialN,instruction_trial.thisN,instruction_trial.thisIndex,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,experiment_trials.thisRepN,experiment_trials.thisTrialN,experiment_trials.thisN,experiment_trials.thisIndex,thisRow.t,notes,piloting,assigned_ls_group,slider_informed_consent.response,Practice_clip_name,Practice_video_used,Practice_audio_used,Practice_modality,Practice_subtitles,Practice_attention_check,Practice_all_cut_rts,Practice_correct_key_required,practice_trials.prac_attention_resp.keys,practice_trials.prac_attention_resp.rt,practice_trials.prac_attention_resp.duration,video_used,audio_used,condition_modality,all_cut_rts,experiment_trials.exp_atttention_resp.keys,experiment_trials.exp_pause_resp.keys,correct_key_required,experiment_trials.exp_atttention_resp.rt,experiment_trials.exp_atttention_resp.duration,experiment_trials.exp_pause_resp.rt,experiment_trials.exp_pause_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
"Einverständniserklärung

Bitte lesen Sie die folgende Erklärung aufmerksam durch:

Ich bestätige, dass ich über 18 Jahre alt bin und ausreichend Zeit hatte, mich für die Teilnahme zu entscheiden. Ich wurde über die Erhebung, Verarbeitung und öffentliche Zugänglichmachung meiner anonymisierten Daten angemessen informiert.
Ich bin mir bewusst, dass ich das Experiment jederzeit abbrechen kann.

,33,0,33,,,,None,None,,,,,,,,,,,,,33,0,33,0,715.6050701001659,,,,,,,,,,,,,,,,clips/clip_weißt_04_sub_0.mp4,audios/clip_weißt_04_sub_0.mp3,audiovisual,[],None,None,,,,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
,34,0,34,,,,1,None,3.5861680996604264,None,,,,,,,,,,,34,0,34,0,726.4816084001213,,,,,,,,,,,,,,,,clips/clip_wurst_08_sub_1.mp4,audios/silence.mp3,visual,"[0.2857424998655915, 5.379151899833232]",1,None,1,3.5861680996604264,None,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
,35,0,35,,,,None,None,,,,,,,,,,,,,35,0,35,0,739.4759529000148,,,,,,,,,,,,,,,,clips/clip_herz_04_nosub_0.mp4,audios/clip_herz_04_nosub_0.mp3,audiovisual,[8.174432500265539],None,None,,,,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
,36,0,36,,,,1,None,2.706634799949825,None,,,,,,,,,,,36,0,36,0,751.3512531998567,,,,,,,,,,,,,,,,clips/clip_claude_02_nosub_1.mp4,audios/clip_claude_02_nosub_1.mp3,audiovisual,[5.6501127001829445],1,None,1,2.706634799949825,None,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
,37,0,37,,,,None,None,,,,,,,,,,,,,37,0,37,0,764.7267972999252,,,,,,,,,,,,,,,,clips/clip_hund_34_nosub_1.mp4,audios/silence.mp3,visual,[],None,None,,,,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
,38,0,38,,,,None,None,,,,,,,,,,,,,38,0,38,0,776.0812658001669,,,,,,,,,,,,,,,,clips/clip_holo_07_nosub_0.mp4,audios/clip_holo_07_nosub_0.mp3,audiovisual,[],None,None,,,,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
,39,0,39,,,,None,None,,,,,,,,,,,,,39,0,39,0,786.366495499853,,,,,,,,,,,,,,,,clips/clip_hund_29_nosub_0.mp4,audios/clip_hund_29_nosub_0.mp3,audiovisual,[10.39250379987061],None,None,,,,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
,40,0,40,,,,None,None,,,,,,,,,,,,,40,0,40,0,798.6605279999785,,,,,,,,,,,,,,,,clips/clip_herz_05_sub_0.mp4,audios/silence.mp3,visual,"[6.215783399995416, 8.287844199687243]",None,None,,,,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
,41,0,41,,,,None,None,,,,,,,,,,,,,41,0,41,0,809.8272151998244,,,,,,,,,,,,,,,,clips/clip_lied_05_sub_0.mp4,audios/clip_lied_05_sub_0.mp3,audiovisual,[],None,None,,,,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
,42,0,42,,,,None,None,,,,,,,,,,,,,42,0,42,0,820.0045695002191,,,,,,,,,,,,,,,,clips/clip_holo_04_sub_2.mp4,audios/silence.mp3,visual,"[3.1736721000634134, 7.056721499655396]",None,None,,,,,,207,B,2026-04-05_17h00.26.305,exp_sofc_final,,2026.1.2,58.89302316945961,2026-04-05 17h00.27.628045 +0200,
