instruction_text;thisN;thisTrialN;thisRepN;prac_attention_resp.keys;prac_attention_resp.rt;prac_attention_resp.duration;exp_atttention_resp.keys;exp_pause_resp.keys;exp_atttention_resp.rt;exp_atttention_resp.duration;exp_pause_resp.rt;exp_pause_resp.duration;instruction_trial.thisRepN;instruction_trial.thisTrialN;instruction_trial.thisN;instruction_trial.thisIndex;practice_trials.thisRepN;practice_trials.thisTrialN;practice_trials.thisN;practice_trials.thisIndex;experiment_trials.thisRepN;experiment_trials.thisTrialN;experiment_trials.thisN;experiment_trials.thisIndex;thisRow.t;notes;piloting;assigned_ls_group;slider_informed_consent.response;Practice_clip_name;Practice_video_used;Practice_audio_used;Practice_modality;Practice_subtitles;Practice_attention_check;Practice_all_cut_rts;practice_trials.prac_attention_resp.keys;Practice_correct_key_required;practice_trials.prac_attention_resp.rt;practice_trials.prac_attention_resp.duration;video_used;audio_used;condition_modality;all_cut_rts;experiment_trials.exp_atttention_resp.keys;experiment_trials.exp_pause_resp.keys;correct_key_required;experiment_trials.exp_atttention_resp.rt;experiment_trials.exp_atttention_resp.duration;experiment_trials.exp_pause_resp.rt;experiment_trials.exp_pause_resp.duration;participant;session;date;expName;expVersion;psychopyVersion;frameRate;expStart
Einverständniserklärung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;14;0;14;;;;None;None;;;;;;;;;;;;;14;0;14;0;44.870.877.219.969.400;;;;;;;;;;;;;;;;clips/clip_herz_10_sub_0.mp4;audios/clip_herz_10_sub_0.mp3;audiovisual;[0.5072467001155019];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;15;0;15;;;;None;None;;;;;;;;;;;;;15;0;15;0;459.601.034.599.822;;;;;;;;;;;;;;;;clips/clip_herz_12_nosub_0.mp4;audios/clip_herz_12_nosub_0.mp3;audiovisual;[6.058775000274181];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;16;0;16;;;;None;None;;;;;;;;;;;;;16;0;16;0;4.694.860.356.999.560;;;;;;;;;;;;;;;;clips/clip_dampf_03_sub_1.mp4;audios/silence.mp3;visual;[7.638985600322485];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;17;0;17;;;;None;None;;;;;;;;;;;;;17;0;17;0;4.779.039.800.995.960;;;;;;;;;;;;;;;;clips/clip_weißt_29_sub_1.mp4;audios/silence.mp3;visual;[6.989664100110531];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;18;0;18;;;;None;None;;;;;;;;;;;;;18;0;18;0;4.903.904.702.998.690;;;;;;;;;;;;;;;;clips/clip_claude_06_nosub_1.mp4;audios/clip_claude_06_nosub_1.mp3;audiovisual;[4.332101100124419];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;19;0;19;;;;None;None;;;;;;;;;;;;;19;0;19;0;5.038.264.746.996.570;;;;;;;;;;;;;;;;clips/clip_wurst_14_sub_1.mp4;audios/clip_wurst_14_sub_1.mp3;audiovisual;[7.833594100084156];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;20;0;20;;;;None;None;;;;;;;;;;;;;20;0;20;0;5.146.254.707.998.590;;;;;;;;;;;;;;;;clips/clip_lied_06_nosub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;21;0;21;;;;None;None;;;;;;;;;;;;;21;0;21;0;52.808.881.559.968;;;;;;;;;;;;;;;;clips/clip_holo_01_sub_1.mp4;audios/clip_holo_01_sub_1.mp3;audiovisual;[];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;22;0;22;;;;None;None;;;;;;;;;;;;;22;0;22;0;5.380.921.682.999.460;;;;;;;;;;;;;;;;clips/clip_hund_23_sub_1.mp4;audios/silence.mp3;visual;[];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
;23;0;23;;;;None;None;;;;;;;;;;;;;23;0;23;0;5.498.512.377.999.720;;;;;;;;;;;;;;;;clips/clip_dampf_01_nosub_0.mp4;audios/silence.mp3;visual;[];None;None;;;;;;208;B;2026-04-05_17h54.40.576;exp_sofc_final;;02.01.2026;61.009.983.636.102.800;2026-04-05 17h54.41.743969 +0200
